AverageTemperature,date
4.538,1841-01-01
6.372,1841-02-01
10.421,1841-03-01
11.517,1841-04-01
16.798,1841-05-01
16.644,1841-06-01
18.046,1841-07-01
18.558,1841-08-01
17.278,1841-09-01
12.955,1841-10-01
9.442,1841-11-01
7.471,1841-12-01
3.438,1842-01-01
6.671,1842-02-01
10.275,1842-03-01
10.982,1842-04-01
15.4,1842-05-01
19.336,1842-06-01
19.394,1842-07-01
20.31,1842-08-01
15.796,1842-09-01
10.767,1842-10-01
8.313,1842-11-01
7.736,1842-12-01
6.963,1843-01-01
7.918,1843-02-01
9.455,1843-03-01
11.997,1843-04-01
14.293,1843-05-01
16.295,1843-06-01
18.447,1843-07-01
19.142,1843-08-01
17.227,1843-09-01
12.849,1843-10-01
9.335,1843-11-01
7.85,1843-12-01
5.812,1844-01-01
5.994,1844-02-01
8.813,1844-03-01
13.356,1844-04-01
14.15,1844-05-01
18.635,1844-06-01
19.053,1844-07-01
17.351,1844-08-01
16.865,1844-09-01
12.861,1844-10-01
9.589,1844-11-01
4.591,1844-12-01
6.507,1845-01-01
4.064,1845-02-01
6.916,1845-03-01
11.964,1845-04-01
13.302,1845-05-01
18.24,1845-06-01
18.987,1845-07-01
17.239,1845-08-01
16.511,1845-09-01
13.015,1845-10-01
10.334,1845-11-01
7.57,1845-12-01
7.962,1846-01-01
9.303,1846-02-01
10.561,1846-03-01
11.932,1846-04-01
15.667,1846-05-01
20.495,1846-06-01
20.945,1846-07-01
20.246,1846-08-01
17.812,1846-09-01
12.678,1846-10-01
9.213,1846-11-01
3.995,1846-12-01
5.948,1847-01-01
6.068,1847-02-01
8.189,1847-03-01
10.291,1847-04-01
16.477,1847-05-01
16.627,1847-06-01
20.34,1847-07-01
19.194,1847-08-01
15.592,1847-09-01
13.139,1847-10-01
9.832,1847-11-01
6.449,1847-12-01
3.052,1848-01-01
8.47,1848-02-01
9.223,1848-03-01
12.339,1848-04-01
16.11,1848-05-01
17.764,1848-06-01
19.603,1848-07-01
18.75,1848-08-01
16.117,1848-09-01
12.901,1848-10-01
8.46,1848-11-01
7.41,1848-12-01
7.121,1849-01-01
8.654,1849-02-01
8.763,1849-03-01
10.177,1849-04-01
15.283,1849-05-01
18.762,1849-06-01
