,Year,Modeled Rate (Trend Line)
1179,2010,38.7067
1180,2011,38.4346
1181,2012,38.1645
1182,2013,39.8643
1183,2014,41.6399
1184,2015,43.4946
1185,2016,42.5586
1186,2017,41.6427
1187,2018,40.7465
1188,1975,17.2191
1189,1976,18.2192
1190,1977,19.2773
1191,1978,20.3968
1192,1979,21.5814
1193,1980,22.8347
1194,1981,24.1609
1195,1982,25.5641
1196,1983,27.0487
1197,1984,28.6196
1198,1985,30.2818
1199,1986,32.0404
1200,1987,33.9012
1201,1988,35.87
1202,1989,37.9532
1203,1990,40.1574
1204,1991,42.4896
1205,1992,44.9573
1206,1993,47.5682
1207,1994,50.3308
1208,1995,53.2538
1209,1996,56.3466
1210,1997,59.619
1211,1998,61.5709
1212,1999,63.5867
1213,2000,65.6685
1214,2001,67.8185
1215,2002,70.0388
1216,2003,72.3319
1217,2004,74.7
1218,2005,77.1456
1219,2006,79.6713
1220,2007,82.2797
1221,2008,84.9736
1222,2009,87.7556
1223,2010,90.6286
1224,2011,93.5958
1225,2012,96.6601
1226,2013,99.8247
1227,2014,103.0929
1228,2015,106.4681
1229,2016,106.5111
1230,2017,106.5541
1231,2018,106.5971
1232,1975,19.5332
1233,1976,20.5728
1234,1977,21.6678
1235,1978,22.821
1236,1979,24.0356
1237,1980,25.3148
1238,1981,26.6621
1239,1982,28.0811
1240,1983,29.5757
1241,1984,31.1498
1242,1985,32.8077
1243,1986,34.5538
1244,1987,36.3928
1245,1988,38.3297
1246,1989,40.3697
1247,1990,42.5183
1248,1991,44.7812
1249,1992,47.1646
1250,1993,49.6748
1251,1994,52.3187
1252,1995,55.1032
1253,1996,58.0359
1254,1997,61.1248
1255,1998,64.378
1256,1999,67.8043
1257,2000,71.413
1258,2001,75.2138
1259,2002,79.2169
1260,2003,83.433
1261,2004,87.8736
1262,2005,92.5504
1263,2006,97.4762
1264,2007,102.6641
1265,2008,108.1282
1266,2009,113.883
1267,2010,119.9442
1268,2011,122.8315
1269,2012,125.7884
1270,2013,128.8164
1271,2014,131.9174
1272,2015,135.093
1273,2016,138.345
1274,2017,141.6753
1275,2018,145.0858
1276,1975,-
1277,1976,-
1278,1977,-
1279,1978,-
1280,1979,-
1281,1980,-
1282,1981,-
1283,1982,-
1284,1983,-
1285,1984,-
1286,1985,-
1287,1986,-
1288,1987,-
1289,1988,-
1290,1989,-
1291,1990,-
1292,1991,-
1293,1992,-
1294,1993,-
1295,1994,-
1296,1995,-
1297,1996,-
1298,1997,-
1299,1998,-
1300,1999,-
1301,2000,-
1302,2001,-
1303,2002,-
1304,2003,-
1305,2004,-
1306,2005,-
1307,2006,-
1308,2007,-
1309,2008,-
1310,2009,-
1311,2010,-
1312,2011,-
1313,2012,-
1314,2013,-
1315,2014,-
1316,2015,-
1317,2016,-
1318,2017,-
1319,2018,-
1320,1975,7.351
1321,1976,7.7589
1322,1977,8.1895
1323,1978,8.6439
1324,1979,9.1236
1325,1980,9.6299
1326,1981,9.8637
1327,1982,10.1032
1328,1983,10.3485
