,dt,AverageTemperature,Country
566,1843-03-01,22.84,India
567,1843-04-01,26.628,India
568,1843-05-01,28.404,India
569,1843-06-01,28.228,India
570,1843-07-01,26.735000000000007,India
571,1843-08-01,25.625,India
572,1843-09-01,25.035,India
573,1843-10-01,23.177,India
574,1843-11-01,19.531,India
575,1843-12-01,16.657,India
576,1844-01-01,16.37,India
577,1844-02-01,17.971,India
578,1844-03-01,23.072,India
579,1844-04-01,26.745,India
580,1844-05-01,28.368,India
581,1844-06-01,28.341,India
582,1844-07-01,26.32,India
583,1844-08-01,25.485,India
584,1844-09-01,24.646,India
585,1844-10-01,23.156,India
586,1844-11-01,19.836,India
587,1844-12-01,16.819000000000006,India
588,1845-01-01,16.900000000000002,India
589,1845-02-01,18.51,India
590,1845-03-01,23.43,India
591,1845-04-01,26.783,India
592,1845-05-01,29.158,India
593,1845-06-01,28.252,India
594,1845-07-01,26.902,India
595,1845-08-01,25.795,India
596,1845-09-01,25.258000000000003,India
597,1845-10-01,23.05,India
598,1845-11-01,19.824,India
599,1845-12-01,16.256,India
600,1846-01-01,17.963,India
601,1846-02-01,19.517,India
602,1846-03-01,24.426,India
603,1846-04-01,26.804,India
604,1846-05-01,29.276,India
605,1846-06-01,28.723000000000003,India
606,1846-07-01,27.418000000000006,India
607,1846-08-01,26.14,India
608,1846-09-01,25.14,India
609,1846-10-01,22.828000000000003,India
610,1846-11-01,20.151,India
611,1846-12-01,17.244,India
612,1847-01-01,17.203,India
613,1847-02-01,19.184,India
614,1847-03-01,22.714,India
615,1847-04-01,27.143,India
616,1847-05-01,28.803,India
617,1847-06-01,28.256,India
618,1847-07-01,26.877,India
619,1847-08-01,25.736,India
620,1847-09-01,25.202,India
621,1847-10-01,23.179,India
622,1847-11-01,19.965,India
623,1847-12-01,15.558000000000002,India
624,1848-01-01,15.931,India
625,1848-02-01,19.245,India
626,1848-03-01,22.931,India
627,1848-04-01,26.672,India
628,1848-05-01,28.837,India
629,1848-06-01,27.942,India
630,1848-07-01,26.885,India
631,1848-08-01,25.693,India
632,1848-09-01,25.08,India
633,1848-10-01,23.107,India
634,1848-11-01,19.552,India
635,1848-12-01,16.855999999999998,India
636,1849-01-01,16.002000000000002,India
637,1849-02-01,18.572,India
638,1849-03-01,23.277,India
639,1849-04-01,26.931,India
640,1849-05-01,28.961,India
641,1849-06-01,27.975,India
642,1849-07-01,26.631,India
643,1849-08-01,25.641,India
644,1849-09-01,25.006,India
645,1849-10-01,23.396,India
646,1849-11-01,20.333,India
647,1849-12-01,15.966,India
648,1850-01-01,15.898,India
649,1850-02-01,18.741,India
650,1850-03-01,22.975,India
651,1850-04-01,26.744,India
652,1850-05-01,28.587,India
653,1850-06-01,28.79,India
654,1850-07-01,27.063,India
655,1850-08-01,26.111,India
656,1850-09-01,25.492,India
657,1850-10-01,24.488000000000003,India
658,1850-11-01,20.602,India
659,1850-12-01,16.564,India
660,1851-01-01,16.090999999999998,India
661,1851-02-01,18.646,India
662,1851-03-01,22.994,India
663,1851-04-01,26.714,India
664,1851-05-01,29.508000000000003,India
665,1851-06-01,28.498,India
666,1851-07-01,26.798,India
667,1851-08-01,26.045,India
668,1851-09-01,25.681,India
669,1851-10-01,24.015,India
670,1851-11-01,19.906,India
671,1851-12-01,16.926000000000002,India
672,1852-01-01,16.816000000000006,India
673,1852-02-01,19.474,India
674,1852-03-01,22.372,India
675,1852-04-01,26.567,India
676,1852-05-01,29.053,India
677,1852-06-01,28.549,India
678,1852-07-01,26.790000000000006,India
679,1852-08-01,25.687,India
680,1852-09-01,25.395,India
681,1852-10-01,23.374,India
682,1852-11-01,19.466,India
683,1852-12-01,16.997,India
684,1853-01-01,15.862000000000002,India
685,1853-02-01,18.969,India
686,1853-03-01,23.503,India
687,1853-04-01,26.995,India
688,1853-05-01,29.598000000000003,India
689,1853-06-01,29.362,India
690,1853-07-01,27.497,India
691,1853-08-01,26.145,India
692,1853-09-01,25.714,India
693,1853-10-01,23.549,India
694,1853-11-01,19.694000000000003,India
695,1853-12-01,17.097,India
696,1854-01-01,16.844,India
697,1854-02-01,18.469,India
698,1854-03-01,23.49,India
699,1854-04-01,26.871,India
700,1854-05-01,29.674,India
701,1854-06-01,28.847,India
702,1854-07-01,27.28,India
703,1854-08-01,26.168000000000006,India
704,1854-09-01,25.409,India
705,1854-10-01,24.276,India
706,1854-11-01,20.507,India
707,1854-12-01,17.274,India
708,1855-01-01,17.122,India
709,1855-02-01,19.491,India
710,1855-03-01,23.327,India
711,1855-04-01,27.919,India
712,1855-05-01,30.131,India
713,1855-06-01,28.851,India
714,1855-07-01,27.083,India
715,1855-08-01,26.16200000000001,India
716,1855-09-01,25.429,India
717,1855-10-01,23.376,India
718,1855-11-01,19.943,India
719,1855-12-01,16.271,India
720,1856-01-01,16.928,India
721,1856-02-01,19.006,India
722,1856-03-01,23.084,India
